Item,exp_ver,Subject,n_segment,uV,preadj_bline,prenoun_bline,ctx_n_words,adj_cond,noun_cond,adj,noun,lemma_adj,lemma_noun,constr_preadj,constr_postadj,gpt_logp_adj,freq_adj,pld20_adj,concr_adj,freq_noun,pld20_noun,concr_noun,p_preadj,p_postadj,DKL,c_trial,c_preadj_bline,c_prenoun_bline,c_DKL,c_p_preadj,c_p_postadj,c_constr_preadj,p_update,c_p_update,c_gpt_logp_adj
100,2,v2_ADFKL,218,-2.49666666666667,-4.8215,-9.08009999999998,12,top,low,comfortable,carpet,comfortable,carpet,0.333333333333333,0.448979591836735,-11.96803,2408,3.45,2.33,594,1.8,4.96,0.0625,0,0.27312041089487,0.985816816190277,-2.5154585332777,-5.62814491967451,-0.419076259030863,-0.194597629173156,-0.347190312985286,-0.122194741847375,-0.0625,-0.15259268381213,-2.96331831191321
100,2,v2_BBINR,218,8.15887254901961,-7.58214999999999,0.0965999999999988,12,top,low,comfortable,carpet,comfortable,carpet,0.333333333333333,0.448979591836735,-11.96803,2408,3.45,2.33,594,1.8,4.96,0.0625,0,0.27312041089487,0.985816816190277,-5.27610853327769,3.54855508032547,-0.419076259030863,-0.194597629173156,-0.347190312985286,-0.122194741847375,-0.0625,-0.15259268381213,-2.96331831191321
100,2,v2_CIQUF,218,-10.0883823529412,-13.5093,-12.3713,12,top,low,comfortable,carpet,comfortable,carpet,0.333333333333333,0.448979591836735,-11.96803,2408,3.45,2.33,594,1.8,4.96,0.0625,0,0.27312041089487,0.985816816190277,-11.2032585332777,-8.91934491967451,-0.419076259030863,-0.194597629173156,-0.347190312985286,-0.122194741847375,-0.0625,-0.15259268381213,-2.96331831191321
100,2,v2_ZHWMK,218,4.33926470588235,-4.96399999999998,-0.600150000000003,12,top,low,comfortable,carpet,comfortable,carpet,0.333333333333333,0.448979591836735,-11.96803,2408,3.45,2.33,594,1.8,4.96,0.0625,0,0.27312041089487,0.985816816190277,-2.65795853327768,2.85180508032547,-0.419076259030863,-0.194597629173156,-0.347190312985286,-0.122194741847375,-0.0625,-0.15259268381213,-2.96331831191321
100,2,v2_ZXVAE,218,-5.99980392156863,-4.54594999999999,2.74185000000001,12,top,low,comfortable,carpet,comfortable,carpet,0.333333333333333,0.448979591836735,-11.96803,2408,3.45,2.33,594,1.8,4.96,0.0625,0,0.27312041089487,0.985816816190277,-2.23990853327769,6.19380508032549,-0.419076259030863,-0.194597629173156,-0.347190312985286,-0.122194741847375,-0.0625,-0.15259268381213,-2.96331831191321
100,2,v2B_CYLZW,23,-4.06843137254902,-3.62670000000001,-2.2008,12,top,low,comfortable,carpet,comfortable,carpet,0.333333333333333,0.448979591836735,-11.96803,2408,3.45,2.33,594,1.8,4.96,0.0625,0,0.27312041089487,-0.964183183809723,-1.32065853327771,1.25115508032548,-0.419076259030863,-0.194597629173156,-0.347190312985286,-0.122194741847375,-0.0625,-0.15259268381213,-2.96331831191321
100,2,v2B_ROQOU,23,7.08411764705883,-5.61975000000001,-13.3766,12,top,low,comfortable,carpet,comfortable,carpet,0.333333333333333,0.448979591836735,-11.96803,2408,3.45,2.33,594,1.8,4.96,0.0625,0,0.27312041089487,-0.964183183809723,-3.31370853327771,-9.92464491967451,-0.419076259030863,-0.194597629173156,-0.347190312985286,-0.122194741847375,-0.0625,-0.15259268381213,-2.96331831191321
100,3,v3_CRNPA,25,6.27882352941177,-17.51935,0.932549999999999,12,top,top,comfortable,couch,comfortable,couch,0.333333333333333,0.448979591836735,-11.96803,2408,3.45,2.33,1197,1.45,4.71,0.270833333333333,0.448979591836735,0.27312041089487,-0.944183183809723,-15.2133085332777,4.38450508032547,-0.419076259030863,0.0137357041601774,0.101789278851449,-0.122194741847375,0.178146258503402,0.0880535746912718,-2.96331831191321
100,3,v3_IOIMN,25,6.5110294117647,6.34625000000002,-7.3393,12,top,top,comfortable,couch,comfortable,couch,0.333333333333333,0.448979591836735,-11.96803,2408,3.45,2.33,1197,1.45,4.71,0.270833333333333,0.448979591836735,0.27312041089487,-0.944183183809723,8.65229146672232,-3.88734491967452,-0.419076259030863,0.0137357041601774,0.101789278851449,-0.122194741847375,0.178146258503402,0.0880535746912718,-2.96331831191321
100,3,v3_PODPH,25,-12.8035784313726,5.85119999999999,-8.38604999999998,12,top,top,comfortable,couch,comfortable,couch,0.333333333333333,0.448979591836735,-11.96803,2408,3.45,2.33,1197,1.45,4.71,0.270833333333333,0.448979591836735,0.27312041089487,-0.944183183809723,8.15724146672229,-4.93409491967451,-0.419076259030863,0.0137357041601774,0.101789278851449,-0.122194741847375,0.178146258503402,0.0880535746912718,-2.96331831191321
