Item,ctx_n_words,exp_ver,adj_cond,noun_cond,adj,noun,lemma_adj,lemma_noun,constr_preadj,constr_postadj,gpt_logp_adj,freq_adj,pld20_adj,concr_adj,freq_noun,pld20_noun,concr_noun,p_preadj,p_postadj,DKL
50,10,2,low,low,extended,family,extend,family,0.48936170212766,0.490196078431373,-10.56295,213,2.4,2.93,18067,2,4.23,0.0212765957446809,0.490196078431373,1.19328936549695
50,10,3,low,top,extended,home,extend,home,0.48936170212766,0.490196078431373,-10.56295,213,2.4,2.93,39491,1,4.11,0.48936170212766,0.117647058823529,1.19328936549695
50,10,4,top,low,suburban,family,suburban,family,0.48936170212766,0.813953488372093,-8.90464,117,3,3.27,18067,2,4.23,0.0212765957446809,0,0.318197552591421
51,15,1,top,top,cell,phone,cell,phone,0.823529411764706,0.976190476190476,-7.804861,2772,1,4.44,13756,1.55,4.86,0.823529411764706,0.976190476190476,0.0659622266464456
51,15,2,low,low,locked,door,lock,door,0.823529411764706,0.725490196078431,-11.36872,2670,1.25,4.65,14895,1.35,4.81,0.0784313725490196,0.725490196078431,1.06833711524779
51,15,3,low,top,locked,phone,lock,phone,0.823529411764706,0.725490196078431,-11.36872,2670,1.25,4.65,13756,1.55,4.86,0.823529411764706,0.176470588235294,1.06833711524779
51,15,4,top,low,cell,door,cell,door,0.823529411764706,0.976190476190476,-7.804861,2772,1,4.44,14895,1.35,4.81,0.0784313725490196,0,0.0659622266464456
52,12,1,top,low,red,wood,red,wood,0.450980392156863,0.869565217391304,-3.021054,7551,1,4.24,1377,1.2,4.85,0.274509803921569,0.0869565217391304,0.302896267418081
52,12,2,top,top,red,bricks,red,brick,0.450980392156863,0.869565217391304,-3.021054,7551,1,4.24,200,1.7,4.83,0.450980392156863,0.869565217391304,0.302896267418081
52,12,3,low,low,sunburned,wood,sunburned,wood,0.450980392156863,0.441860465116279,-15.96008,20,2.75,4.17,1377,1.2,4.85,0.274509803921569,0.441860465116279,0.315743955256272
52,12,4,low,top,sunburned,bricks,sunburned,brick,0.450980392156863,0.441860465116279,-15.96008,20,2.75,4.17,200,1.7,4.83,0.450980392156863,0.255813953488372,0.315743955256272
55,10,1,low,low,living,room,living,room,0.672413793103448,0.981132075471698,-3.97654,7983,1.65,3.04,22415,1.1,4.79,0.0862068965517242,0.981132075471698,1.72686271040661
55,10,2,low,top,living,car,living,car,0.672413793103448,0.981132075471698,-3.97654,7983,1.65,3.04,24636,1,4.89,0.672413793103448,0,1.72686271040661
55,10,3,top,low,compact,room,compact,room,0.672413793103448,0.888888888888889,-10.77971,86,2.3,3.04,22415,1.1,4.79,0.0862068965517242,0,0.146681726533803
